"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Kazakhstan",0.0163144986501387,0.00364617478218592,0.0359072705013788,0.00637268080834455,1.05313428182385,0.419559211630643
"Costa Rica",0.0145399305555556,0.0205625669876296,0.712765957446808,NA,3.40988539155134,0.0730471250600681
"Cambodia",0.0142235048571208,NA,0.240837696335079,NA,1.62578023543211,0.196677803420057
"Singapore",0.0111753822511991,0.00558259544352345,0.052929486689316,0.0594339318933907,1.1674615502168,0.453497447658947
"Honduras",0.0105316799728215,NA,0.219191919191919,NA,2.32911320861358,0.166704137627543
"Austria",0.0104488265494792,0.0147768722171576,0.439675083694495,NA,3.2905157312793,0.0389012706793421
"Albania",0.0102561377404612,NA,1,NA,2.55818379554105,0.0465921813998105
"Ireland",0.01020826446281,NA,0.706959706959707,NA,4.28883343730505,0.0621143557897685
"Armenia",0.00844875346260385,0.011948341731961,0.329582229806194,NA,2.49611428323041,0.053903941299161
"Italy",0.00751403704350335,0.00154652440381142,0.90228426395939,0.138190919165899,5.67764731852677,0.0317265940784367
"Egypt",0.0072111789113317,0.00246714992829818,0.702117898073887,0.311672626500221,6.81149108619354,0.0529522092709712
"Greece",0.0069201110898747,0.000875121830133316,0.420511986641019,0.238545587506776,2.61435098934692,0.050876376160793
"Azerbaijan",0.00681228373702424,NA,0.157843137254902,NA,1.38942307692308,0.0939058179720145
"Poland",0.00656459041277028,0.00547631510356485,0.44073208935619,0.000181197099196259,2.47490141079933,0.0439463615683047
"Cape Verde",0.00616167049733482,NA,0.223404255319149,NA,2.2855705823181,0.106187835462096
"China, People's Republic of",0.00513506271273362,NA,0.0313425437659643,NA,1.12700316251848,0.142914541385378
"Uruguay",0.00400354599788385,0.00566186904779187,0.752688172043011,NA,2.76148144879288,0.0240260030291289
"Belarus",0.00357130352578692,NA,0.0169373863944,NA,1.13856886585609,0.3848765396412
"Bangladesh",0.00147044407411036,NA,0.149253731343284,NA,1.36204018959877,0.0450362850935539
"Portugal",0.00133216701843366,0.00188396866481501,0.471590909090909,NA,2.8248417350066,0.014028575077051
"Tajikistan",0.0013296398891967,0.00188039476437423,0.0645161290322581,NA,1.26510699536351,0.0736553334652269
"Tunisia",0.0012132186509733,0.00171575027033042,0.286324786324786,NA,1.61686290728958,0.0198215703409751
"Viet Nam",0.000450230456945759,0.000636722018406128,0.00321982839950808,NA,1.00277006184681,0.281181420693086
"Cuba",0,NA,NA,NA,1,0.9094026125272
"Haiti",0,NA,NA,NA,4.53244421646576,0
"Iceland",0,0,NA,NA,3.49246215183874,0
"Japan",0,0,NA,NA,2.54153280025048,0
"Jordan",0,NA,NA,NA,1.45649922320042,0
"Syria (Syrian Arab Republic)",0,NA,NA,NA,1.14430361595513,0
"Turkmenistan",0,NA,NA,NA,1,0.270543177452132
"United Arab Emirates",0,NA,NA,NA,1.05964834186512,0
NA,NA,NA,NA,NA,NA,NA
